tsne1,tsne2,clusters
-49.116856,-64.08504,2
-58.660923,42.33878,2
-62.56098,-92.18766,2
-27.237768,31.70748,2
-50.40164,-62.83254,2
-37.31888,38.273544,2
-42.797966,30.161129,2
-76.33731,7.818225,2
-40.83179,44.25248,2
-14.849223,50.12046,0
-23.811117,37.706367,2
-43.791775,-98.892624,2
-42.51687,-95.71978,2
-14.849223,50.12046,0
-50.402004,-62.833935,2
-62.057438,37.933876,2
-46.65186,-89.07453,2
-39.293293,-69.568634,2
-69.99685,33.010994,2
-56.141914,-95.81042,2
-40.817,44.26193,2
-24.992256,35.72984,1
-40.57555,40.000484,2
-42.053787,-96.714226,2
-55.498276,-94.03062,2
-38.64096,33.42409,2
-43.40512,48.776455,2
-24.306614,27.749418,2
-28.716307,54.821346,2
-43.34747,-97.454575,2
-62.200752,-93.99998,2
-28.716225,54.821136,2
-42.516678,-95.71919,2
-33.50667,-73.77352,1
-43.802006,-98.916145,2
-62.067844,-93.96767,2
-24.994503,35.729122,1
-39.29016,-69.57646,2
-22.493696,29.041134,2
-42.52392,-97.527885,2
-37.649265,-66.35246,2
-22.500175,29.04068,2
-24.306683,27.749462,2
-58.663235,42.35957,2
-40.617393,40.370758,2
-37.80595,-62.947086,2
-46.6653,-89.08325,2
-37.239246,37.84144,2
-45.93358,-65.23074,2
-43.288807,-95.87255,2
-46.35784,-77.375595,1
-54.044838,52.6385,0
-43.55918,-96.3742,2
-40.617573,40.37081,2
-42.535454,-97.67078,2
-37.80595,-62.947086,2
-43.556057,-96.33742,2
20.344028,59.630867,1
-48.134693,-95.15812,2
-42.797966,30.161129,2
-33.41918,-70.80043,2
-44.119816,-99.06999,2
-76.33755,7.8183656,2
-54.044838,52.6385,0
-76.38259,7.7778354,2
-33.41918,-70.80043,2
-46.361824,-77.375114,0
-44.57116,-86.64365,2
-57.7434,20.63694,2
-40.57165,39.99839,2
-56.14354,-95.80982,2
-62.459724,-92.67443,2
-43.288273,-95.87095,2
-49.115536,-64.08652,2
-39.182533,-69.73075,2
-37.799526,-62.94009,2
-23.85304,37.723255,2
-40.820114,44.262638,2
-37.3119,38.279556,2
-45.08003,-69.34216,2
-47.29054,-92.26289,2
-41.46235,39.862118,2
-62.577763,-92.88091,2
-24.306997,27.749348,2
-42.503155,-95.70178,2
-42.52097,-97.527466,2
-43.40892,48.771683,2
-28.716394,54.820976,2
-43.556873,-96.367294,2
-40.599377,39.994846,2
-56.139965,-95.80185,2
-50.42007,-62.815575,2
-68.49291,-86.61822,2
20.33821,59.62745,1
-38.648964,40.009933,2
-63.1306,43.750534,2
-68.646286,-86.77928,2
-37.318703,38.27305,2
-40.61671,40.370213,2
-43.28902,-95.86879,2
-45.080544,-69.34363,2
-44.152454,-99.0677,2
-62.344124,-90.34736,2
-33.42119,-70.80287,2
-32.930565,-72.32114,1
20.345112,59.632084,1
-38.639885,40.007866,2
-54.064674,52.595863,0
-42.04517,-96.67156,2
-45.080544,-69.34363,2
-27.237768,31.70748,2
-14.848782,50.118954,0
-62.070217,37.928257,2
-46.313072,-65.16254,2
-27.237978,31.707151,2
-46.36079,-77.37528,0
-62.057438,37.933876,2
-46.66471,-89.08284,2
-35.12519,-73.93954,2
-44.115055,-99.06197,2
-32.93455,-72.32989,1
-62.18695,-92.32297,2
-49.116905,-64.08453,2
-61.65766,-85.77755,2
-23.843006,37.714005,2
-46.29286,-65.17045,2
-42.626976,-95.753044,2
-38.65924,33.465992,2
-40.726593,40.322777,2
-24.583536,27.924019,2
-45.109646,-69.35583,2
-84.80156,21.211372,2
-61.87525,-93.76113,2
-49.947483,-63.245773,2
-37.31242,37.896027,2
20.334335,59.63394,1
-46.4023,-77.36516,2
-43.81342,-98.91178,2
-34.904236,-74.35832,2
-42.127075,-96.781555,2
-33.34304,-70.995346,2
-44.203022,-99.08691,2
-61.924507,-93.71031,2
-40.817986,44.192627,2
-38.656742,33.466637,2
-46.428375,-77.3384,0
-38.74189,42.364395,2
-45.109646,-69.35583,2
-37.5036,-69.230736,2
-24.118229,37.702473,2
-38.615517,-67.21211,2
-42.51662,-95.73906,2
-58.92744,-93.59989,2
-71.00975,-87.033585,2
-75.89673,36.337414,2
-28.594347,54.845844,2
-37.264153,-69.98123,2
-43.275265,-95.78873,2
-35.64688,-74.55814,2
-43.81342,-98.91178,2
-35.64688,-74.55814,2
-28.594347,54.845844,2
-42.516426,-95.73446,2
-43.001514,-95.98843,2
-37.264153,-69.98123,2
-43.001514,-95.98843,2
-34.904236,-74.35832,2
-49.952423,-63.24451,2
-43.274563,-95.78887,2
-46.428375,-77.3384,0
-40.824646,-69.2797,2
-37.5036,-69.230736,2
-52.024796,-97.576195,2
-52.025295,-97.57472,2
-33.34334,-70.995445,2
-52.30676,-96.57775,2
-42.77604,-95.769005,2
-57.165157,-85.342354,2
-50.71906,-94.90577,2
-50.64356,-94.644714,2
-50.108795,-95.00875,2
-42.67936,-90.089424,2
-42.73991,-95.66278,2
-51.33747,-96.57921,2
-38.545624,-65.91465,2
-42.533154,-90.43579,2
-28.595543,54.861496,2
-32.91705,-72.24103,1
-50.0027,-63.24364,2
-46.038685,-65.17752,2
-53.898678,52.577377,0
-42.570248,-97.614006,2
-43.118813,-95.83074,2
-55.975384,-95.8755,2
-46.330917,-90.57366,2
-54.294434,-94.56587,2
-43.402836,48.743946,2
-49.79277,-66.25765,2
-37.82592,-62.901634,2
-66.92517,4.1994467,2
-42.51662,-95.73906,2
-33.34462,-70.99363,2
-38.65852,33.464825,2
-28.594347,54.845844,2
-46.428375,-77.3384,0
-45.10955,-69.35524,2
-49.952126,-63.244545,2
-43.81342,-98.91178,2
-34.446228,-71.1939,2
-43.908546,-98.94574,2
-35.065224,-73.812904,2
-27.205786,31.690695,2
-38.62392,33.42016,2
-41.46163,39.88684,2
-24.89936,35.68235,1
-58.713745,42.516506,2
-57.742214,20.657797,2
-43.35476,-97.41924,2
-38.61,39.998234,2
-45.04972,-69.326515,2
-37.157547,38.46286,2
-48.971237,-64.2373,2
-41.758884,31.056534,2
-62.1061,37.988358,2
-24.296036,27.750475,2
-76.41798,7.835751,2
-33.36885,-70.7589,2
-43.61965,-93.848366,2
-14.8580885,50.091404,0
-24.118261,37.70358,2
-70.10523,4.227439,2
-78.21822,33.268803,2
-59.678833,-84.89125,2
-32.94916,25.901894,2
-70.60103,33.28007,2
-46.694336,-90.66589,2
-28.385904,53.564903,2
-69.29403,2.4506304,2
-34.620697,23.97567,2
-81.640305,27.828455,2
-36.25778,26.921694,2
-31.388046,27.866968,2
-47.719246,41.18817,2
-38.568157,45.918137,2
-42.826397,42.04425,2
-40.225166,44.587387,2
15.637006,60.812256,1
-31.782871,34.863445,2
-28.069536,42.093094,2
-43.68008,46.5974,2
-58.21852,36.78319,2
-32.173615,29.528423,2
-78.181076,-7.9199286,2
-66.926605,-2.989147,2
-53.647594,-79.96891,2
-87.24259,-8.233063,2
-56.69898,18.27299,2
-54.529926,-91.94491,2
-82.483284,-80.11118,2
-84.782745,-16.586535,2
-44.029293,41.72952,2
-37.427837,-69.807396,2
-62.25245,-69.4719,2
-47.16771,-88.20362,2
-58.30191,44.01515,2
-36.325764,-71.742096,2
-54.830727,-86.80481,2
-43.952293,-95.70667,2
-45.980614,-92.51594,2
-39.984608,-66.20732,2
-49.884514,-94.413414,2
-46.71663,-95.12649,2
-47.03047,-92.63524,2
-50.794308,-93.59762,2
-47.189888,-91.06151,2
-34.67535,-73.14336,2
-37.951893,-71.30195,2
-54.495373,-92.82987,2
-33.5916,-70.55776,2
-54.76517,-87.23826,2
-46.965153,-96.00213,2
-49.19933,-86.16383,2
-35.75541,-74.02807,2
-34.601738,-71.18461,2
-37.90061,-64.96693,2
-38.204803,-71.244835,2
-47.128056,-94.63285,2
-43.524406,28.533457,2
-77.58038,-49.448433,2
-38.757496,43.569286,2
-38.357334,42.512962,2
